id,file_id,attribute_id,value,unit_id
451,93784,469,facing north away from shrub,
452,93784,470,1,
453,93784,471,primos,
454,93784,472,"photo, 1 photo burst,3 second delay before next  picture",
455,93784,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
456,93784,269,"35.197505, -119.71552",
457,93784,325,"",
458,93785,466,525,
459,93785,271,2015-04-03/2015-04-03,
460,93785,467,3,
461,93785,468,shrub,
462,93785,469,facing north away from shrub,
463,93785,470,4,
464,93785,471,primos,
465,93785,472,"photo, 1 photo burst,3 second delay before next  picture",
466,93785,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
467,93785,269,"35.197505, -119.71552",
468,93785,325,"",
469,93786,466,2553,
470,93786,271,2015-04-03/2015-04-03,
471,93786,467,4,
472,93786,468,shrub,
473,93786,469,facing north away from shrub,
474,93786,470,7,
475,93786,471,primos,
476,93786,472,"photo, 1 photo burst,3 second delay before next  picture",
477,93786,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
478,93786,269,"35.197505, -119.71552",
479,93786,325,"",
480,93787,466,66,
481,93787,271,2015-04-03/2015-04-03,
482,93787,467,5,
483,93787,468,shrub,
484,93787,469,facing north away from shrub,
485,93787,470,10,
486,93787,471,primos,
487,93787,472,"photo, 1 photo burst,3 second delay before next  picture",
488,93787,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
489,93787,269,"35.197505, -119.71552",
490,93787,325,"",
491,93788,466,3,
492,93788,271,2015-04-03/2015-04-03,
493,93788,467,6,
494,93788,468,open,
495,93788,469,facing north away from shrub,
496,93788,470,5,
497,93788,471,primos,
498,93788,472,"photo, 1 photo burst,3 second delay before next  picture",
499,93788,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
500,93788,269,"35.197505, -119.71552",
501,93788,325,"",
502,93789,466,3906,
503,93789,271,2015-04-04/2015-04-04,
504,93789,467,2,
505,93789,468,open,
506,93789,469,facing north away from shrub,
507,93789,470,no#,
508,93789,471,little acorn (backup),
509,93789,472,"photo, 1 photo burst,3 second delay before next  picture",
510,93789,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
511,93789,269,"35.197505, -119.71552",
512,93789,325,"camera date not set correctly before deployment, please ignore timestamp on images",
513,93790,466,312,
514,93790,271,2015-04-04/2015-04-04,
515,93790,467,3,
516,93790,468,shrub,
517,93790,469,facing north away from shrub,
518,93790,470,1,
519,93790,471,primos,
520,93790,472,"photo, 1 photo burst,3 second delay before next  picture",
521,93790,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
522,93790,269,"35.197505, -119.71552",
523,93790,325,"",
524,93791,466,255,
525,93791,271,2015-04-04/2015-04-04,
526,93791,467,3,
527,93791,468,open,
528,93791,469,facing north away from shrub,
529,93791,470,3,
530,93791,471,primos,
531,93791,472,"photo, 1 photo burst,3 second delay before next  picture",
532,93791,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
533,93791,269,"35.197505, -119.71552",
534,93791,325,"",
535,93792,466,978,
536,93792,271,2015-04-04/2015-04-04,
537,93792,467,4,
538,93792,468,shrub,
539,93792,469,facing north away from shrub,
540,93792,470,5,
541,93792,471,primos,
542,93792,472,"photo, 1 photo burst,3 second delay before next  picture",
543,93792,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
544,93792,269,"35.197505, -119.71552",
545,93792,325,"",
546,93793,466,30,
547,93793,271,2015-04-04/2015-04-04,
548,93793,467,4,
549,93793,468,open,
550,93793,469,facing north away from shrub,
551,93793,470,7,
552,93793,471,primos,
553,93793,472,"photo, 1 photo burst,3 second delay before next  picture",
554,93793,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
555,93793,269,"35.197505, -119.71552",
556,93793,325,"camera date not set correctly before deployment, please ignore timestamp on images",
557,93794,466,219,
558,93794,271,2015-04-04/2015-04-04,
559,93794,467,4,
560,93794,468,open,
561,93794,469,facing north away from shrub,
562,93794,470,9,
563,93794,471,primos,
564,93794,472,"photo, 1 photo burst,3 second delay before next  picture",
565,93794,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
566,93794,269,"35.197505, -119.71552",
567,93794,325,"",
568,93795,466,231,
569,93795,271,2015-04-04/2015-04-04,
570,93795,467,5,
571,93795,468,shrub,
572,93795,469,facing north away from shrub,
573,93795,470,10,
574,93795,471,primos,
575,93795,472,"photo, 1 photo burst,3 second delay before next  picture",
576,93795,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
577,93795,269,"35.197505, -119.71552",
578,93795,325,"camera date not set correctly before deployment, please ignore timestamp on images",
579,93796,466,152,
580,93796,271,2015-04-04/2015-04-04,
581,93796,467,5,
582,93796,468,shrub,
583,93796,469,facing north away from shrub,
584,93796,470,7,
585,93796,471,primos,
586,93796,472,"photo, 1 photo burst,3 second delay before next  picture",
587,93796,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
588,93796,269,"35.197505, -119.71552",
589,93796,325,"",
590,93797,466,267,
591,93797,271,2015-04-05/2015-04-05,
592,93797,467,5,
593,93797,468,open,
594,93797,469,facing north away from shrub,
595,93797,470,10,
596,93797,471,primos,
597,93797,472,"photo, 1 photo burst,3 second delay before next  picture",
598,93797,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
599,93797,269,"35.197505, -119.71552",
600,93797,325,"",
601,93798,466,216,
602,93798,271,2015-04-05/2015-04-05,
603,93798,467,5,
604,93798,468,open,
605,93798,469,facing north away from shrub,
606,93798,470,7,
607,93798,471,primos,
608,93798,472,"photo, 1 photo burst,3 second delay before next  picture",
609,93798,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
610,93798,269,"35.197505, -119.71552",
611,93798,325,"camera date not set correctly before deployment, please ignore timestamp on images",
612,93799,466,339,
613,93799,271,2015-04-05/2015-04-05,
614,93799,467,5,
615,93799,468,shrub,
616,93799,469,facing north away from shrub,
617,93799,470,8,
618,93799,471,primos,
619,93799,472,"photo, 1 photo burst,3 second delay before next  picture",
620,93799,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
621,93799,269,"35.197505, -119.71552",
622,93799,325,"",
623,93800,466,20,
624,93800,271,2015-04-05/2015-04-05,
625,93800,467,6,
626,93800,468,open,
627,93800,469,facing north away from shrub,
628,93800,470,10,
629,93800,471,primos,
630,93800,472,"photo, 1 photo burst,3 second delay before next  picture",
631,93800,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
632,93800,269,"35.197505, -119.71552",
633,93800,325,"camera date not set correctly before deployment, please ignore timestamp on images",
634,93801,466,426,
635,93801,271,2015-04-05/2015-04-05,
636,93801,467,6,
637,93801,468,shrub,
638,93801,469,facing north away from shrub,
639,93801,470,6,
640,93801,471,primos,
641,93801,472,"photo, 1 photo burst,3 second delay before next  picture",
642,93801,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
643,93801,269,"35.197505, -119.71552",
644,93801,325,"",
645,93802,466,48,
646,93802,271,2015-04-05/2015-04-05,
647,93802,467,7,
648,93802,468,shrub,
649,93802,469,facing north away from shrub,
650,93802,470,4,
651,93802,471,primos,
652,93802,472,"photo, 1 photo burst,3 second delay before next  picture",
653,93802,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
654,93802,269,"35.197505, -119.71552",
655,93802,325,"",
656,93803,466,1881,
657,93803,271,2015-04-06/2015-04-06,
658,93803,467,5,
659,93803,468,shrub,
660,93803,469,facing north away from shrub,
661,93803,470,10,
662,93803,471,primos,
663,93803,472,"photo, 1 photo burst,3 second delay before next  picture",
664,93803,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
665,93803,269,"35.197505, -119.71552",
666,93803,325,"",
667,93804,466,9,
668,93804,271,2015-04-07/2015-04-07,
669,93804,467,6,
670,93804,468,shrub,
671,93804,469,facing north away from shrub,
672,93804,470,10,
673,93804,471,primos,
674,93804,472,"photo, 1 photo burst,3 second delay before next  picture",
675,93804,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
676,93804,269,"35.197505, -119.71552",
677,93804,325,"",
678,93805,466,225,
679,93805,271,2015-04-09/2015-04-09,
680,93805,467,1,
681,93805,468,shrub,
682,93805,469,facing north away from shrub,
683,93805,470,5,
